"File","LineNumber","MatchedText","LooksLikeCode","LineContent"
"bhava_Tech_Likhwell.html","631","Bhava","False","sessionAttempts: [],    // attempts recorded since the last ""End Bhava Session"""
"bhava_Tech_Likhwell.html","2257","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"bhava_Tech_Likhwell.html","2258","Bhava","True","<script>document.title = ""Bhava Likhwell"";</script>"
"brain-garden.html","7","Bhāva","False","<meta name=""description"" content=""Bhāva Tech Phase 1 · Five playful brain training games for children: memory, focus, patterns, counting, and rhymes."" />"
"brain-garden.html","349","Bhava","False","/* Bhava nav menu */"
"brain-garden.html","375","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"brain-garden.html","403","Bhāva","True","<div class=""brand"" aria-label=""Bhāva Tech brand"">"
"brain-garden.html","404","Bhāva","True","<img src=""data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/4gHYSUNDX1BST0ZJTEUAAQEAAAHIAAAAAAQwAABtbnRyUkdCIFhZWiAH4AABAAEAAAAAAABhY3NwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAA9tYAAQAAAADTLQAAAAAAAAA ...(truncated)"
"brain-garden.html","406","Bhāva","True","<div class=""brand-title"">Bhāva Tech</div>"
"brain-garden.html","447","Bhāva","True","<img class=""hero-logo"" src=""data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/4gHYSUNDX1BST0ZJTEUAAQEAAAHIAAAAAAQwAABtbnRyUkdCIFhZWiAH4AABAAEAAAAAAABhY3NwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAA9tYAA ...(truncated)"
"brain-garden.html","702","Bhāva","True","<p class=""footer-note"">Bhāva Tech Phase 1 · Brain Garden · Built for curious minds 🌱</p>"
"brain-garden.html","1295","Bhava","False","<!-- Bhava Game Menu -->"
"brain-garden.html","1312","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"brain-quest.html","267","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
